Timestamp,Name,Value
3.027685,"Swerve/Pitch",-1.8017578125
3.029123,"Swerve/Yaw",-0.00274658203125
3.029146,"Swerve/Roll",-0.52734375
3.029228,"Swerve/Pitch",-1.8017578125
3.031107,"Swerve/Yaw",0
3.031132,"Swerve/Roll",-0.52734375
3.031152,"Swerve/Pitch",-1.8017578125
3.032798,"Swerve/Yaw",0
3.032822,"Swerve/Roll",-0.52734375
3.032842,"Swerve/Pitch",-1.8017578125
3.034643,"Swerve/Yaw",0
3.034665,"Swerve/Roll",-0.52734375
3.034684,"Swerve/Pitch",-1.8017578125
3.036128,"Swerve/Yaw",0
3.036151,"Swerve/Roll",-0.52734375
3.03617,"Swerve/Pitch",-1.8017578125
3.037798,"Swerve/Yaw",0
3.037821,"Swerve/Roll",-0.52734375
3.03784,"Swerve/Pitch",-1.8017578125
3.039368,"Swerve/Yaw",0
3.039392,"Swerve/Roll",-0.52734375
3.039411,"Swerve/Pitch",-1.8017578125
3.041091,"Swerve/Yaw",0
3.041117,"Swerve/Roll",-0.52734375
3.041137,"Swerve/Pitch",-1.8017578125
3.044668,"Swerve/Yaw",0
3.044767,"Swerve/Roll",-0.52734375
3.044793,"Swerve/Pitch",-1.8017578125
3.046701,"Swerve/Yaw",0
3.046723,"Swerve/Roll",-0.52734375
3.04681,"Swerve/Pitch",-1.8017578125
3.049072,"Swerve/Yaw",0
3.049098,"Swerve/Roll",-0.52734375
3.049119,"Swerve/Pitch",-1.8017578125
3.051359,"Swerve/Yaw",-0.00274658203125
3.051384,"Swerve/Roll",-0.52734375
3.051403,"Swerve/Pitch",-1.8017578125
3.053133,"Swerve/Yaw",-0.00274658203125
3.053156,"Swerve/Roll",-0.52734375
3.053174,"Swerve/Pitch",-1.8017578125
3.055066,"Swerve/Yaw",-0.00274658203125
3.055088,"Swerve/Roll",-0.52734375
3.055107,"Swerve/Pitch",-1.8017578125
3.056772,"Swerve/Yaw",-0.00274658203125
3.056793,"Swerve/Roll",-0.52734375
3.056811,"Swerve/Pitch",-1.8017578125
3.058681,"Swerve/Yaw",-0.00274658203125
3.058703,"Swerve/Roll",-0.52734375
3.058722,"Swerve/Pitch",-1.8017578125
3.060199,"Swerve/Yaw",-0.00274658203125
3.06022,"Swerve/Roll",-0.52734375
3.060238,"Swerve/Pitch",-1.8017578125
3.062832,"Swerve/Yaw",-0.00274658203125
3.06286,"Swerve/Roll",-0.52734375
3.06288,"Swerve/Pitch",-1.8017578125
3.064816,"Swerve/Yaw",-0.00274658203125
3.064839,"Swerve/Roll",-0.52734375
3.064858,"Swerve/Pitch",-1.8017578125
3.066566,"Swerve/Yaw",-0.00274658203125
3.066588,"Swerve/Roll",-0.52734375
3.066607,"Swerve/Pitch",-1.8017578125
3.068492,"Swerve/Yaw",-0.00274658203125
3.068514,"Swerve/Roll",-0.52734375
3.068533,"Swerve/Pitch",-1.8017578125
3.072024,"Swerve/Yaw",-0.00274658203125
3.072047,"Swerve/Roll",-0.52734375
3.072066,"Swerve/Pitch",-1.8017578125
3.073699,"Swerve/Yaw",-0.00274658203125
3.073722,"Swerve/Roll",-0.52734375
3.07374,"Swerve/Pitch",-1.8017578125
3.075478,"Swerve/Yaw",-0.00274658203125
3.075499,"Swerve/Roll",-0.52734375
3.075517,"Swerve/Pitch",-1.8017578125
3.077081,"Swerve/Yaw",-0.00274658203125
3.077102,"Swerve/Roll",-0.52734375
3.077119,"Swerve/Pitch",-1.8017578125
3.078662,"Swerve/Yaw",-0.00274658203125
3.078683,"Swerve/Roll",-0.52734375
3.0787,"Swerve/Pitch",-1.8017578125
3.080253,"Swerve/Yaw",-0.00274658203125
3.080274,"Swerve/Roll",-0.52734375
3.080291,"Swerve/Pitch",-1.8017578125
3.082856,"Swerve/Yaw",-0.00274658203125
3.082878,"Swerve/Roll",-0.52734375
3.082897,"Swerve/Pitch",-1.8017578125
3.085822,"Swerve/Yaw",-0.00274658203125
3.085853,"Swerve/Roll",-0.52734375
3.085874,"Swerve/Pitch",-1.8017578125
3.087663,"Swerve/Yaw",-0.00274658203125
3.087683,"Swerve/Roll",-0.52734375
3.0877,"Swerve/Pitch",-1.8017578125
3.098621,"Swerve/Yaw",-0.00274658203125
3.098644,"Swerve/Roll",-0.52734375
3.098662,"Swerve/Pitch",-1.8017578125
3.118738,"Swerve/Yaw",-0.00274658203125
3.118766,"Swerve/Roll",-0.52734375
3.118785,"Swerve/Pitch",-1.8017578125
3.138654,"Swerve/Yaw",-0.00274658203125
3.13868,"Swerve/Roll",-0.52734375
3.138699,"Swerve/Pitch",-1.8017578125
3.159878,"Swerve/Yaw",-0.00274658203125
3.159904,"Swerve/Roll",-0.52734375
3.159922,"Swerve/Pitch",-1.8017578125
3.178717,"Swerve/Yaw",-0.00274658203125
3.178742,"Swerve/Roll",-0.52734375
3.178762,"Swerve/Pitch",-1.8017578125
3.19869,"Swerve/Yaw",-0.00274658203125
3.198779,"Swerve/Roll",-0.52734375
3.198803,"Swerve/Pitch",-1.8017578125
3.218666,"Swerve/Yaw",-0.0054931640625
3.218691,"Swerve/Roll",-0.52734375
3.218711,"Swerve/Pitch",-1.8017578125
3.238765,"Swerve/Yaw",-0.0054931640625
3.23879,"Swerve/Roll",-0.52734375
3.238809,"Swerve/Pitch",-1.8017578125
3.258664,"Swerve/Yaw",-0.0054931640625
3.258688,"Swerve/Roll",-0.52734375
3.258815,"Swerve/Pitch",-1.8017578125
3.278735,"Swerve/Yaw",-0.0054931640625
3.278764,"Swerve/Roll",-0.52734375
3.278783,"Swerve/Pitch",-1.8017578125
3.298798,"Swerve/Yaw",-0.0054931640625
3.298825,"Swerve/Roll",-0.52734375
3.298843,"Swerve/Pitch",-1.8017578125
